Question,Answer,base_response,,final_answer,token_cost,time_cost,recheck_hallucination
What muffler repair shop owner inspired Andrey Zvyagintsev's film Leviathan?,Marvin John Heemeyer,No specific muffler repair shop owner inspired Andrey Zvyagintsev's film Leviathan.,,No specific muffler repair shop owner inspired Andrey Zvyagintsev's film Leviathan.,99,3.897924185,
 What annual event occurs on a property co-founded by an American who was the best-selling recording artist of the 20th century?,San Diego County Fair,Elvis Week is the annual event that occurs on the property co-founded by Elvis Presley.,,"Elvis Week is the annual event that occurs on the property co-founded by Elvis Presley, who was the best-selling recording artist of the 20th century.",115,3.261354208,
What is the name of the Minahasa journalist and novelist who was active in the colonies incorporated into the Dutch government in 1800?,Frederick D. J. Pangemanann,I have no idea.,,The Minahasa journalist and novelist active in the colonies incorporated into the Dutch government in 1800 was Karel Frederik Holle.,98,2.837142467,
"Which city has a higher population, Shanghai or Hengyang?",Shanghai,Shanghai has a higher population than Hengyang.,,Shanghai has a higher population than Hengyang.,71,2.418148041,
"Rosi Golan's songs were featured in commercials for a brand of Artsana, that's been working for over 50 years, and is present in how many countries?",more than 120 countries,"Rosi Golan's songs were featured in commercials for Chicco, a brand of Artsana that has been working for over 50 years and is present in over 120 countries.",,The brand is present in over 120 countries.,119,2.446916103,
"What American actress starred in the 1996 television film ""Bastard Out of Carolina"" directed by Anjelica Huston?",Jena Malone,"Jennifer Jason Leigh starred as Anney Boatwright in the 1996 television film ""Bastard Out of Carolina.""",,"Jennifer Jason Leigh starred in the 1996 television film ""Bastard Out of Carolina"" directed by Anjelica Huston.",117,2.063126802,
"Who is older, Lucy Gichuhi or Bob Day?",Bob Day,Lucy Gichuhi is older than Bob Day.,,"Lucy Gichuhi was born on 23 September 1962, and Bob Day was born on 19 July 1952, making Bob Day older than Lucy Gichuhi.",101,2.856942892,
"Parafield, South Australia is very near the airport and what campus of the University of South Australia?",Mawson Lakes,"Parafield, South Australia is very near the airport and the Mawson Lakes campus of the University of South Australia.",,"Parafield, South Australia is very near the airport and the Mawson Lakes campus of the University of South Australia.",105,8.807672024,
"Undiscovered Country is a reference to the concept of the afterlife as the ""undiscovered country"" from which opening phrase of a soliloquy spoken by Prince Hamlet in the so-called ""nunnery scene"" of William Shakespeare's play ""Hamlet""?",To be,"The statement is accurate: Undiscovered Country is a reference to the concept of the afterlife as the ""undiscovered country"" from the opening phrase of a soliloquy spoken by Prince Hamlet in the so-called ""nunnery scene"" of William Shakespeare's play ""Hamlet.""",,"The opening phrase of the soliloquy is ""To be, or not to be: that is the question.""",178,3.22968626,
The winner of the FIA World Endurance Championship in 2013 drove the Toyota TF101 with who?,Mika Salo,I have no idea.,,"The winners of the 2013 FIA World Endurance Championship were Allan McNish, Tom Kristensen, and Loïc Duval, driving the Audi R18 e-tron quattro.",104,3.808874369,
What position did the current Leader of Fine Gael hold from 2016 until 2017?,Minister for Social Protection,Simon Harris held the position of Minister for Health from 2016 until 2017.,,Simon Harris held the position of Minister for Health from 2016 until 2017.,92,2.543285847,
Which Victorian poet was born in a 15th-century castle home to the Earl of Southesk?,Charlotte Carnegie,Algernon Charles Swinburne was the Victorian poet born in a 15th-century castle home to the Earl of Southesk.,,Algernon Charles Swinburne was indeed the Victorian poet born in a 15th-century castle home to the Earl of Southesk.,114,3.008725643,
What unit of the Air National Guard is located at a base that was home to the 509th Bomb Wing flying the General Dynamics FB-111A?,133d Air Refueling Squadron,The 157th Air Refueling Wing of the New Hampshire Air National Guard is located at Pease Air National Guard Base.,,"The 157th Air Refueling Wing of the New Hampshire Air National Guard is located at Pease Air National Guard Base, which was formerly Pease Air Force Base, home to the 509th Bomb Wing flying the General Dynamics FB-111A.",144,2.490515947,
What retailer did Albert Heijn start up that eventually merged with the Delhaize Group?,Koninklijke Ahold N.V.,The retailer Albert Heijn started that eventually merged with the Delhaize Group was Ahold.,,The retailer Albert Heijn started that eventually merged with the Delhaize Group was Ahold.,93,2.708638668,
"The Light Princess was inspired by ""what"" literary tale published by Charles Perrault in 1697?",Sleeping Beauty,"The Light Princess was inspired by Charles Perrault's tale ""Sleeping Beauty,"" published in 1697.",,"The Light Princess was inspired by Charles Perrault's tale ""Sleeping Beauty,"" published in 1697.",102,2.964485168,
"A small regional passenger airline from Killeen, Texas moved its operations from a city owned public airport 6 miles northwest of Downtown Dallas to what airport?",Dallas/Fort Worth International Airport,The airline moved its operations to Dallas/Fort Worth International Airport.,,The airline moved its operations to Dallas/Fort Worth International Airport.,94,2.3104496,
"The head of the Foreign Relations Department of the Rastriya Janashakti Party holds a degree that can be abbreviated MS, M.S., or ScM, in what field?",Engineering,The head of the Foreign Relations Department of the Rastriya Janashakti Party holds a degree in Computer Science.,,The head of the Foreign Relations Department of the Rastriya Janashakti Party holds a degree in Computer Science.,125,2.301491022,
"Flower Alley was bred by the trainer who was killed at what Fayette County, Kentucky airport?",Blue Grass Airport,Flower Alley was bred by the trainer who was killed at Blue Grass Airport.,,Flower Alley was bred by the trainer who was killed at Blue Grass Airport.,86,2.482497454,
"Domestic Disturbance stars an actor who voiced what character in ""Monsters, Inc.""?",Randall Boggs,"The actor from ""Domestic Disturbance"" who voiced a character in ""Monsters, Inc."" is Steve Buscemi, who voiced Randall Boggs.",,"Steve Buscemi, who starred in ""Domestic Disturbance,"" voiced the character Randall Boggs in ""Monsters, Inc.""",117,2.321902752,
This Australian racing driver currently drives the No. 22 Holden VF Commodore produced by Holden Commodore which manufactures what other models?,sedan and station wagon,"Chaz Mostert drives the No. 22 Holden VF Commodore, and Holden also manufactures models such as the Colorado and Astra.",,"Holden, which manufactures the VF Commodore, also produces models such as the Colorado and Astra.",112,5.335059404,
"Who was born first, Vladimir Nabokov or Harper Lee?",Vladimir Vladimirovich Nabokov,Vladimir Nabokov was born first.,,Vladimir Nabokov was born first.,68,2.542780876,
Little Brown Stein is a rivalry trophy that imitates a mug made out of what item?,stoneware,Little Brown Stein is a rivalry trophy that imitates a mug made out of clay.,,The Little Brown Stein is a rivalry trophy that imitates a mug made out of a beer stein.,93,3.047359228,
"Who was born first, Lawrence Ferlinghetti or Luigi Pirandello?",Luigi Pirandello,Luigi Pirandello was born first.,,Luigi Pirandello was born first.,70,2.270955086,
Which Record Company reissued an Avenged Sevenfold Album that only sold 300 copies?,Hopeless Records,Good Fight Music reissued an Avenged Sevenfold album that only sold 300 copies.,,Good Fight Music reissued an Avenged Sevenfold album that only sold 300 copies.,94,12.81155252,
When was the company that produced rectangular crackers that have 18 holes in a 3x6 pattern founded?,1853,"Nabisco, the company that produces Ritz Crackers, was founded in 1898.",,"Nabisco, the company that produces Ritz Crackers, was founded in 1898.",98,2.611116648,
What US city between New York and Quebec Canada was the most effected during the Taconic orogeny?,New England,"The Taconic orogeny primarily affected the eastern edge of the North American continent, shaping the Taconic Mountains in eastern New York and western New England, making cities in the Hudson Valley and western Massachusetts areas, such as Albany or Pittsfield, within the most affected region.",,"Albany, New York, located in the Hudson Valley, was among the most affected US cities during the Taconic orogeny, as it lies within the region where the Taconic Mountains were formed.",161,3.028030396,
"Between the two operas, Mosè in Egitto and Lucrezia Borgia, which one has more acts?",Mosè in Egitto,"Mosè in Egitto, in its more common Italian version, has three acts, while Lucrezia Borgia has two acts plus a prologue.",,"Mosè in Egitto has more acts than Lucrezia Borgia, with three acts compared to Lucrezia Borgia's two acts plus a prologue.",128,2.725949287,
What movies has Juno Temple starred in?,"She has appeared in films such as "" Black Mass"", ""The Other Boleyn Girl"", ""Wild Child"", ""Atonement"", ""Maleficent"", ""The Three Musketeers"" and ""The Dark Knight Rises"".","Juno Temple has starred in movies such as ""Atonement,"" ""Maleficent,"" ""Killer Joe,"" ""The Dark Knight Rises,"" and ""Palmer.""",,"Juno Temple has starred in movies such as ""Atonement,"" ""Maleficent,"" ""Killer Joe,"" ""The Dark Knight Rises,"" ""Palmer,"" ""Horn,"" ""Black Mass,"" ""Unsane,"" and ""Dirty John.""",135,3.173178434,
Which as more species Cassiope or Deutzia?,Deutzia,Deutzia has more species than Cassiope.,,Deutzia has more species than Cassiope.,71,2.437067986,
"Which of the actress starred in  Zombie Night appeared in the 1998 erotic thriller ""Wild Things""?",Jennifer Taylor,I have no idea.,,"Actress Daryl Hannah, who starred in ""Zombie Night,"" also appeared in the 1998 erotic thriller ""Wild Things.""",90,2.690677166,
"David Wayne Hull (born 1962 or 1963) is a leader of which group that originated in Mississippi in the early 1960s under the leadership of Samuel Bowers, its first Grand Wizard?",White Knights,David Wayne Hull is a leader of the White Knights of the Ku Klux Klan.,,David Wayne Hull is a leader of the White Knights of the Ku Klux Klan.,114,3.213804007,
How many Grammy awards were won by an album named after the Joni Mitchell song from Love Actually?,two Grammy awards,"The album *Blue* by Joni Mitchell, which contains the song ""Both Sides Now,"" did not win any Grammy Awards.",,"The album *Blue* by Joni Mitchell, which contains the song ""Both Sides Now,"" did not win any Grammy Awards.",111,2.731440067,
When was the group formed whose Japanese debut EP/ video album is called Nobody for Everybody ?,2006,"The group &TEAM was formed on December 7, 2022.",,"The group &TEAM, whose Japanese debut EP/video album is called Nobody for Everybody, was formed on December 7, 2022.",98,2.312151432,
When was the son of Kingsley Amis born ?,1949,"Martin Amis, the son of Kingsley Amis, was born on August 25, 1949.",,"Martin Amis, the son of Kingsley Amis, was born on August 25, 1949.",94,1.723669291,
Lean on Pete stars the actor best known for playing what role in Granite Flats?,Timmy Sanders,Lean on Pete stars the actor best known for playing Timmy Sanders in Granite Flats.,,Lean on Pete stars the actor best known for playing Timmy Sanders in Granite Flats.,90,3.126294851,
What star of a Matthew Senreich and Zeb Wells comedy was born in July of 1983?,Heidi Lynn Gardner,Seth Green,,"Seth Green, a star of Matthew Senreich and Zeb Wells's *Robot Chicken*, was born in February 1974, not July 1983.",93,2.471833706,
What other jobs did the actress Olivia Munn from Mortdecai have?,model,"Besides acting, Olivia Munn was a television host, notably on G4's *Attack of the Show!*, and a model.",,"Besides acting, Olivia Munn was a television host, notably on G4's *Attack of the Show!*, and a model.",106,3.118160963,
Which major international airport in south-east England ranks as the 8th busiest airport in Europe and replaced Croydon Airport?,Gatwick Airport,London Heathrow Airport is the major international airport in south-east England that ranks as the 8th busiest airport in Europe and replaced Croydon Airport.,,London Heathrow Airport is the major international airport in south-east England that ranks as the 8th busiest airport in Europe and replaced Croydon Airport.,124,4.164477348,
Both Alexander Hall and Pierre Morel are involved in which profession?,film director,Both Alexander Hall and Pierre Morel are film directors.,,Both Alexander Hall and Pierre Morel are film directors.,72,2.245126963,
What type of movies are 101 Dalmatians and G-Force?,American family comedy adventure,"101 Dalmatians and G-Force are both family adventure comedies, often featuring animation or animated characters.",,101 Dalmatians and G-Force are both family adventure comedies.,93,2.86602354,
Who was the winner of the season of The Rap Game where a contestant named Lady Leshurr as one of her influences?,Mani,"The winner of The Rap Game season three, where Mini Barbie mentioned Lady Leshurr as an influence, was Nova.",,"The winner of The Rap Game season three, where Mini Barbie mentioned Lady Leshurr as an influence, was Nova.",110,3.059669971,
"What Box Codax group musician was also the guitarist, backing/lead vocalist and keyboardist of another Glasgow-based band?","Nicholas John ""Nick"" McCarthy","Scott Paterson of Box Codax was also the guitarist, backing/lead vocalist, and keyboardist for The Cinematics.",,"Scott Paterson of Box Codax was also the guitarist, backing/lead vocalist, and keyboardist for the Glasgow-based band The Cinematics.",115,3.276925564,
"Professional cyclist Sara Symington competed in which Olympic Games held in Sydeney, Australia?",2000 Summer Olympic Games,Professional cyclist Sara Symington competed in the 2000 Sydney Olympic Games.,,Professional cyclist Sara Symington competed in the 2000 Sydney Olympic Games.,85,2.137196541,
"Which super bowl that took place at the Miami Dolphins home stadium, featured the San Francisco 49ers defeating the San Diego Chargers?",Super Bowl XXIX,"Super Bowl XXIX, featuring the San Francisco 49ers defeating the San Diego Chargers, took place at Joe Robbie Stadium (now Hard Rock Stadium) in Miami, Florida.",,"Super Bowl XXIX, where the San Francisco 49ers defeated the San Diego Chargers, took place at Joe Robbie Stadium, the home stadium of the Miami Dolphins.",131,2.602020502,
What cover for the main game of NBA 2K16 earned a gold medal playing with Team USA at the 2012 Summer Olympics?,Anthony Davis,Stephen Curry earned a gold medal playing with Team USA at the 2012 Summer Olympics.,,The NBA 2K16 cover athlete who earned a gold medal playing with Team USA at the 2012 Summer Olympics was Kevin Durant.,111,2.641115189,
What 4 divisions make up the company of the wealthiest person in Georgia?,"newspapers, television, radio, cable television","The four divisions of The Home Depot are U.S. Retail, Online, Mexico, and Canada.",,"The four divisions of Cox Enterprises are Cox Communications, Cox Automotive, Cox Media Group, and Other.",92,5.569510698,
Where did the opera in which Iva Pacetti starred as Elena first premier?,"La Scala, Milan","The opera in which Iva Pacetti starred as Elena, *Mefistofele*, first premiered in Milan.",,"The opera in which Iva Pacetti starred as Elena, *Mefistofele*, first premiered in Milan.",101,2.057249784,
What was the nationality and profession of the person responsible for the concept of a dimensionless number in physics and engineering?,French mathematician and physicist,"The person responsible for popularizing the concept of dimensionless numbers, particularly through the use of dimensional analysis, was British physicist Lord Rayleigh.",,"The person responsible for popularizing the concept of dimensionless numbers, particularly through the use of dimensional analysis, was British physicist Lord Rayleigh.",116,2.849118948,
Between Pinanga and Alopecurus which genus is more common in temperate regions?,Alopecurus,Alopecurus is more common in temperate regions.,,Alopecurus is more common in temperate regions.,77,2.55471921,
"Which author was a dentist, Zane Grey or Bhabananda Deka?",Pearl Zane Grey,Zane Grey was a dentist.,,Zane Grey was a dentist.,68,3.987468719,
"Jaroslav Kvapil the Czech poet was born in the Kingdom of Bohemia, also referred to by what name?",Czech Kingdom,The Kingdom of Bohemia was also referred to as Bohemia.,,The Kingdom of Bohemia was also referred to as Bohemia.,88,2.124905348,
Were Cinderella and The Emperor's New Groove released by the same picture company?,no,"Yes, both *Cinderella* and *The Emperor's New Groove* were released by Walt Disney Pictures.",,"Yes, both *Cinderella* and *The Emperor's New Groove* were released by Walt Disney Pictures.",102,2.514618158,
"The rapper whose debut album was titled ""Thug Misses"" has sold over how many records worldwide?",2 million,"The rapper whose debut album was titled ""Thug Misses"" has sold over 5 million records worldwide.",,"The rapper whose debut album was titled ""Thug Misses"" (Khia) has sold over 5 million records worldwide.",106,1.16942215,
José Baviera starred in the 1962 film by the filmmaker who worked in what countries?,"Spain, Mexico and France","The filmmaker Luis Buñuel worked in Spain, France, and Mexico.",,"The filmmaker Luis Buñuel worked in Spain, France, and Mexico.",86,2.011198997,
Extract starred what American actress who is known for her work on Saturday Night Live from 2005-2012?,Kristen Carroll Wiig,Kristen Wiig is known for her work on Saturday Night Live from 2005-2012.,,Kristen Wiig.,85,2.688750744,
What member from The Clinch Mountain Boys plays at the Huck Finn Jubilee Bluegrass Music Festival?,Ralph Edmund Stanley,I have no idea.,,"Ralph Stanley, a member of The Clinch Mountain Boys, has performed at the Huck Finn Jubilee Bluegrass Music Festival.",88,2.405609131,
"Which American actor portray Steve Urkel in ""Family Matters""",Jaleel Ahmad White,"Jaleel White portrayed Steve Urkel in ""Family Matters.""",,"Jaleel White portrayed Steve Urkel in ""Family Matters.""",75,2.187008142,
The 2000 ICC KnockOut Trophy was the debut of a Jamaican cricketer who is a right-handed what?,middle order batsman,"The 2000 ICC KnockOut Trophy was the debut of a Jamaican cricketer, Chris Gayle, who is a right-handed opening batsman.",,The 2000 ICC KnockOut Trophy was the debut of a Jamaican cricketer who is a right-handed opening batsman.,121,3.187908649,
"What other occupation did the ""Law West of the Pecos"" have?",saloon-keeper,"The ""Law West of the Pecos,"" Judge Roy Bean, also operated a saloon.",,"The ""Law West of the Pecos,"" Judge Roy Bean, also operated a saloon.",93,1.721125126,
For what ogranization does a commentator of Press TV serve as associate director?,Henry Jackson Society,A commentator of Press TV serves as associate director for the American Iranian Council.,,A commentator of Press TV serves as associate director for the American Iranian Council.,83,9.687959909,
How many episodes were made for the science fiction series with Gus Birney?,ten,"Gus Birney starred in 8 episodes of the science fiction series ""Shrinking.""",,"Gus Birney starred in 8 episodes of the science fiction series ""Shrinking.""",89,2.734746933,
In between  Polytechnic University of the Philippines and California Polytechnic State University which was founded as a vocational high school?,California Polytechnic State University,Polytechnic University of the Philippines was founded as a vocational high school.,,Polytechnic University of the Philippines was founded as a vocational high school.,93,2.812638521,
"Which composer, who was a crucial figure in the transition between the Classical and Romantic eras in Western art music, wrote Piano Sonata No. 16 ?",Ludwig van Beethoven,"Ludwig van Beethoven, a crucial figure in the transition between the Classical and Romantic eras, wrote Piano Sonata No. 16.",,"Ludwig van Beethoven, a crucial figure in the transition between the Classical and Romantic eras, wrote Piano Sonata No. 16.",124,2.568502903,
Where did the military engagements that Captain Lewis Cunningham Broadus served during take place?,Mexico-United States border region,The military engagements that Captain Lewis Cunningham Broadus served during took place in France.,,The military engagements that Captain Lewis Cunningham Broadus served during took place in France.,85,2.442836046,
When was the advisor of Alpher-Bethe-Gamow paper died?,19-Aug-68,"George Gamow, the senior author and mentor for the Alpher-Bethe-Gamow paper, died on August 19, 1968.",,"George Gamow, the advisor of the Alpher-Bethe-Gamow paper, died on August 19, 1968.",109,2.22611022,
Vincas Kudirka is the author of both the music and lyrics of a national anthem which has how many words?,fifty-word,"Vincas Kudirka's national anthem, ""Tautiška giesmė"" (The National Song), has 64 words.",,"Vincas Kudirka's national anthem, ""Tautiška giesmė,"" has 64 words.",124,2.267612219,
What is the name of this Austrian association football club from Vienna for which Raphael Holzhauser was a player?,Austria Wien,FK Austria Wien.,,The name of the Austrian association football club from Vienna for which Raphael Holzhauser was a player is FK Austria Wien.,89,2.592509031,
Ganjam district is located in an indian state located in which part of India ?,eastern India,Ganjam district is located in an Indian state located in Eastern India.,,Ganjam district is located in an Indian state located in Eastern India.,82,2.577937365,
What is the start date of this tour that was the third concert tour by an American singer-songwriter and was completed in support of the album Red?,13-Mar-13,"The start date of The Red Tour was March 13, 2013.",,"The start date of The Red Tour was March 13, 2013.",99,2.161751032,
What is one element of House dance where the dancer ripples his or her torso back and forth?,the jack,A body wave or ripple effect through the torso is an element of House dance.,,A body wave or ripple effect through the torso is an element of House dance.,89,1.509696007,
"Which 2009 animated film is from Japan, Summer Wars or The Secret of Kells?",Summer Wars,Summer Wars is the 2009 animated film from Japan.,,Summer Wars is the 2009 animated film from Japan.,80,2.794560909,
"What is the name of the 1988 film starring Gene Bervoets that was based on the Dutch to English translated novel, ""The Vanishing""?",The Vanishing,"The 1988 film starring Gene Bervoets based on the novel ""The Vanishing"" is titled *Spoorloos*.",,"The 1988 film starring Gene Bervoets based on the novel ""The Vanishing"" is titled *Spoorloos*.",122,2.458827257,
When was the first stud book created for the breed of horse that came from Rotrou introducing Arabian horses to Perche?,1883,The first stud book for the breed of horse that came from Rotrou introducing Arabian horses to Perche was created in France in 1883.,,"The first stud book for the Percheron horse breed, which originated from Rotrou introducing Arabian horses to Perche, was created in France in 1883.",123,2.484991789,
"In what year was the drummer from the album ""Angel of Retribution"" born?",1961,"Scott Travis, the drummer for the album ""Angel of Retribution,"" was born in 1961.",,"Scott Travis, the drummer for the album ""Angel of Retribution,"" was born in 1961.",99,2.054130793,
William Bromley-Davenport held political office under the Prime Minister who was of which party?,Conservative,William Bromley-Davenport held political office under a Prime Minister who was of the Conservative Party.,,William Bromley-Davenport held political office under a Prime Minister who was of the Conservative Party.,93,2.563733578,
Agnes Body was the founding head of a state secondary school located on what road?,Wragby Road,"Agnes Body was the founding head of Sydenham Girls' High School, located on Kangley Bridge Road in Lower Sydenham, London.",,Agnes Body's school was located on Kangley Bridge Road.,97,1.748390913,
Who played the role of Nettie Harris in the 1985 film directed by Steven Spielberg?,Akosua Gyamama Busia,Akosua Busia played the role of Nettie Harris in the 1985 film *The Color Purple* directed by Steven Spielberg.,,Akosua Busia played the role of Nettie Harris in the 1985 film *The Color Purple* directed by Steven Spielberg.,115,1.833472967,
"The actress that plays Charity in the drama series ""Greenleaf"" is a member of a musical family from what city and state?","Detroit, Michigan","The actress that plays Charity in the drama series ""Greenleaf,"" Deborah Joy Winans, is a member of a musical family from Detroit, Michigan.",,"The actress who plays Charity in the drama series ""Greenleaf,"" Deborah Joy Winans, is a member of a musical family from Detroit, Michigan.",123,1.643137217,
On which television network did Joe Penny play an investigator named Jake Styles?,CBS,Joe Penny played an investigator named Jake Styles on the NBC television network.,,Joe Penny played an investigator named Jake Styles on the CBS television network.,79,2.821038961,
How many times did the man who coached the 1986-87 UNLV Runnin' Rebels fail to win 20 games in a season?,twice,Jerry Tarkanian failed to win 20 games in a season 3 times during his NCAA Division I coaching career.,,Jerry Tarkanian failed to win 20 games in a season 3 times during his NCAA Division I coaching career.,115,4.843248844,
 Curious is a women's fragrance by a singer born in what city and state?,"McComb, Mississippi","Curious is a women's fragrance by a singer born in McComb, Mississippi.",,"Curious is a women's fragrance by a singer born in McComb, Mississippi.",89,3.61061573,
Were both Eugene Dynkin and Vladimir Voevodsky mathematicians from Russia?,yes,"Eugene Dynkin was a Russian and Soviet-American mathematician, while Vladimir Voevodsky was a Russian-American mathematician.",,"Yes, both Eugene Dynkin and Vladimir Voevodsky were mathematicians from Russia.",96,2.953889608,
What mall was known as a twin of the mall located on I-45 on the Southeast side of Houston?,Northwest Mall,The mall known as a twin of Almeda Mall on I-45 on the Southeast side of Houston was Northwest Mall.,,The mall known as a twin of Almeda Mall on I-45 on the Southeast side of Houston was Northwest Mall.,109,6.055764914,
In what year did Australian-born comedian Peter Helliar write I Love you Too?,2010,Peter Helliar wrote *I Love You Too* in 2010.,,Peter Helliar wrote *I Love You Too* in 2010.,83,2.180551767,
"Which client of Lindka Cierach played Queen Elizabeth II in ""The Queen""?",Helen Mirren,"Helen Mirren was the client of Lindka Cierach who played Queen Elizabeth II in ""The Queen"".",,"Helen Mirren was the client of Lindka Cierach who played Queen Elizabeth II in ""The Queen"".",99,2.039374113,
Which ocean would the ingredients likely come from for the She-crab soup?,Atlantic Ocean,"The ingredients for She-crab soup would likely come from the Atlantic Ocean, particularly along the Southeastern United States coast where blue crabs are prevalent.",,The ingredients for She-crab soup would likely come from the Atlantic Ocean.,97,2.049059629,
"Which writer of French descent actually lived in France, Maurice Level or John Dufresne?",Maurice Level,Maurice Level lived in France.,,Maurice Level lived in France.,70,2.285220861,
When did the first bank come into existence that is part of an organization that serves rural areas of India with basic banking and financial services?,on 20 July 2009,"The first bank that was part of an organization serving rural areas of India with basic banking and financial services was likely one of the Regional Rural Banks (RRBs), which were established in 1975 under the RRB Act of 1976.",,"The first bank that was part of an organization serving rural areas of India with basic banking and financial services was established on October 2, 1975, as part of the Regional Rural Banks (RRBs) initiative.",157,3.304305553,
Chien-Shiung Wu's expertise in experimental physics evoked comparisons to a scientist who passed away in which year ?,1934,"Chien-Shiung Wu's expertise in experimental physics evoked comparisons to Marie Curie, who passed away in 1934.",,Chien-Shiung Wu's expertise in experimental physics evoked comparisons to a scientist who passed away in 1934.,113,2.303525448,
The 2005 film Remedy featured Frank Vincent from The Sopranos and several mob movies by which acclaimed director?,Martin Scorsese,The acclaimed director whose mob movies featured Frank Vincent is Martin Scorsese.,,The acclaimed director whose mob movies featured Frank Vincent is Martin Scorsese.,92,2.314469337,
What title did the actor who worked with Sivaji Ganesan in a 1970 drama film other than actor?,politician,"Many actors who worked with Sivaji Ganesan in 1970 drama films, like K. Balachander, were also film directors.",,"K. Balachander, who worked with Sivaji Ganesan in the 1970 drama film ""Enga Mama,"" was also a film director.",125,6.541835308,
"Gaia is a space observatory of the European Space Agency, what is Astrosat?",India's first dedicated multi-wavelength space observatory.,Astrosat is India's first dedicated multi-wavelength space observatory launched by the Indian Space Research Organisation.,,Astrosat is India's first dedicated multi-wavelength space observatory launched by the Indian Space Research Organisation.,98,2.196140289,
"After coaching the red raiders to several winning seasons, where does Mike Leach currently coach at?",Washington State,Mike Leach is not currently coaching as he passed away in December 2022.,,Mike Leach is not currently coaching as he passed away in December 2022.,91,2.105588198,
"Which genus has more species, Mahonia or Diplazium?",Diplazium,Diplazium has more species than Mahonia.,,"Diplazium has approximately 400 species, while Mahonia has about 70 species, meaning Diplazium has more species.",87,2.687242508,
What is the title of the person who is Head of the Department of Biological Sciences at the University of Lincoln,Doctor,The title of the person who is Head of the Department of Biological Sciences at the University of Lincoln is Head of Department.,,The title of the person who is Head of the Department of Biological Sciences at the University of Lincoln is Head of Department.,107,3.034574509,
"What type of elevation does Aldgate railway station, Adelaide and Aldgate, South Australia have in common?",Hills,"Aldgate railway station, Adelaide and Aldgate, South Australia both share an elevation that is above sea level.",,"Aldgate railway station, Adelaide and Aldgate, South Australia both share an elevation that is above sea level.",103,2.928750277,
"Brandy was handpicked by a producer that herself had been recognized by the ""Guinness World Records"" for what?",most awarded female act of all-time,"Brandy was handpicked by a producer who had been recognized by the ""Guinness World Records"" for being the youngest female producer in history.",,"Brandy was handpicked by a producer who had been recognized by the ""Guinness World Records"" for being the youngest female producer in history.",119,2.311598063,
What profession did Willi Forst and Elmer Clifton share?,actor,"Willi Forst and Elmer Clifton both worked as film directors, actors, and screenwriters.",,Willi Forst and Elmer Clifton both worked as film directors.,87,2.173852205,
"Which film is older, Monsters, Inc. or Earth?","Monsters, Inc.","Monsters, Inc. is older than Earth.",,"Earth is significantly older than the film Monsters, Inc.",69,13.38738108,
 Chun Woo-hee's notable films include a South Korean horror film about  a policeman who investigates a series of mysterious killings and what?,illnesses,Chun Woo-hee's notable films include a South Korean horror film about a policeman who investigates a series of mysterious killings and *Han Gong-ju*.,,"Chun Woo-hee's notable films include a South Korean horror film about a policeman who investigates a series of mysterious killings, *The Wailing*, and *Han Gong-ju*.",132,3.072283745,
What city is home to the private research university Jung Seul-ki swam for?,"Seoul, South Korea",I have no idea.,,"Jung Seul-ki swam for the University of Southern California, which is located in Los Angeles.",82,2.610528708,
"Who directed the film that had ""The Distance"" in the soundtrack?",Peter Chelsom,"Kinka Usher directed the film that had ""The Distance"" in the soundtrack.",,"Kinka Usher directed the film Mystery Men, which featured ""The Distance"" in its soundtrack.",88,3.684137583,
Jeff Perry the current star of the ABC political drama Scandal is in an upcoming thriller direct by who?,Craig William Macneill,The upcoming thriller starring Jeff Perry is directed by John Pogue.,,The upcoming thriller starring Jeff Perry is directed by John Pogue.,84,3.15072608,
Does Frank Pepe Pizzeria Napoletana or Donatos Pizza have more locations?,Donatos,Donatos Pizza has more locations than Frank Pepe Pizzeria Napoletana.,,Donatos Pizza has more locations than Frank Pepe Pizzeria Napoletana.,92,2.873443127,
"What event in 1920 was established by the director of the play ""The Miracle?""",Salzburg Festival,"The Salzburg Festival was established in 1920 by Max Reinhardt, the director of the play ""The Miracle.""",,"The Salzburg Festival was established in 1920 by Max Reinhardt, the director of the play ""The Miracle.""",103,3.737307072,
"""Let's Get Ready to Rhumble"" is a 1994 song by a music duo from where?","Newcastle upon Tyne, England","The music duo who performed ""Let's Get Ready to Rhumble"" is from Newcastle upon Tyne, England.",,"The music duo who performed ""Let's Get Ready to Rhumble"" is from Newcastle upon Tyne, England.",105,1.992581606,
"Don Swayze was one of five children.  His older brother was trained in dance by their mother, Patsy Swayze, leading to his role in ""Dirty Dancing"".  Who is his older brother?",Patrick Swayze,His older brother is Patrick Swayze.,,Don Swayze's older brother is Patrick Swayze.,104,2.199049473,
Who is Colin Kaepernick and what is his preferred nickname?,an American football quarterback,"Colin Kaepernick is a former American football quarterback and civil rights activist, and he does not have a widely known or preferred nickname, often being referred to by his full name.",,"Colin Kaepernick is a former American football quarterback and civil rights activist who does not have a widely known or preferred nickname, often being referred to by his full name.",115,3.046934605,
Timothy J. Sloan was the CEO of Wells Fargo who succeeded the CEO who took the job in what month?,7-Jun,Timothy J. Sloan succeeded the CEO who took the job in June.,,Timothy J. Sloan succeeded the CEO who took the job in June.,88,2.766064882,
