Question,Answer,base_response,is_hallucination,final_answer,record,token_cost,time_cost
People in the US have longer paid vacations than people in which Western countries?,People in the US have the shortest paid vacations among Western countries;People in the US have the shortest paid vacations among Western countries; There is no such country; Americans have the shortest vacations; There is no country with shorter vacations,None; Americans generally have fewer paid vacation days than people in other Western countries.,NO,None; Americans generally have fewer paid vacation days than residents of other Western countries because the U.S. has no federal mandate for paid annual leave.</text>,"<response>
  <text>None; Americans generally have fewer paid vacation days than residents of other Western countries because the U.S. has no federal mandate for paid annual leave.</text>
  <probability>0.08</probability>
  <confidence>0.97</confidence>
</response>
<response>
  <text>There are no Western countries where Americans reliably receive longer paid vacations, as EU nations and countries like Canada and the UK guarantee at least 2–4 weeks by law.</text>
  <probability>0.03</probability>
  <confidence>0.95</confidence>
</response>
<response>
  <text>In the Western world, Americans typically have shorter paid vacations than peers in Europe, Canada, Australia, and New Zealand, so the answer is none.</text>
  <probability>0.06</probability>
  <confidence>0.93</confidence>
</response>
<response>
  <text>On a statutory basis, none—unlike the United States, most Western countries require at least several weeks of paid vacation by national law.</text>
  <probability>0.04</probability>
  <confidence>0.96</confidence>
</response>
<response>
  <text>Americans do not have longer paid vacations than people in any Western country; the EU’s Working Time Directive alone sets a minimum of four weeks for all member states.</text>
  <probability>0.02</probability>
  <confidence>0.94</confidence>
</response>",604,23.703095197677612
What production company was founded by George Balanchine to create a live stage version of the 1942 film Casablanca?,The Los Angeles Dance Theater,Blue Parrot Productions.,YES,No production company; Balanchine did not attempt to stage Casablanca and did not found “Blue Parrot Productions” or any similar entity for that purpose.</text>,"<response>
  <text>None—there is no record that George Balanchine founded any production company to create a live stage version of Casablanca.</text>
  <probability>0.07</probability>
  <confidence>0.93</confidence>
</response>
<response>
  <text>The premise is incorrect: Balanchine never launched a company for a Casablanca stage adaptation and no such project is documented in his career.</text>
  <probability>0.04</probability>
  <confidence>0.92</confidence>
</response>
<response>
  <text>No production company; Balanchine did not attempt to stage Casablanca and did not found “Blue Parrot Productions” or any similar entity for that purpose.</text>
  <probability>0.02</probability>
  <confidence>0.94</confidence>
</response>
<response>
  <text>George Balanchine co-founded institutions like the School of American Ballet and New York City Ballet, but he did not create a company to stage Casablanca.</text>
  <probability>0.09</probability>
  <confidence>0.91</confidence>
</response>
<response>
  <text>There was no such company—Warner Bros. held Casablanca’s rights, and Balanchine had no involvement in a live stage version.</text>
  <probability>0.05</probability>
  <confidence>0.90</confidence>
</response>",605,89.60507893562317
Are Des Moines International Airport and Grand Canyon National Park Airport both major airline hubs?,no,"No, neither Des Moines International Airport nor Grand Canyon National Park Airport is a major airline hub.",NO,"No—Des Moines International handles moderate passenger volumes without hub status, and Grand Canyon National Park Airport is a small airport with minimal or seasonal scheduled service.</text>","<response>
  <text>No—neither Des Moines International Airport (DSM) nor Grand Canyon National Park Airport (GCN) is designated or operated as a major airline hub; DSM is a regional airport and GCN has limited tourism-focused service.</text>
  <probability>0.07</probability>
  <confidence>0.96</confidence>
</response>
<response>
  <text>Neither airport functions as a major hub for any U.S. airline, with DSM primarily offering point-to-point domestic routes and GCN serving mainly scenic and charter flights.</text>
  <probability>0.03</probability>
  <confidence>0.95</confidence>
</response>
<response>
  <text>No; major hubs are airports like ATL or DFW, whereas DSM and GCN are non-hub airports without large-scale connecting operations.</text>
  <probability>0.09</probability>
  <confidence>0.94</confidence>
</response>
<response>
  <text>No—Des Moines International handles moderate passenger volumes without hub status, and Grand Canyon National Park Airport is a small airport with minimal or seasonal scheduled service.</text>
  <probability>0.02</probability>
  <confidence>0.97</confidence>
</response>
<response>
  <text>No; both DSM and GCN are not major airline hubs, with DSM serving regional travel and GCN focused on tourism-related flights rather than hub connections.</text>
  <probability>0.08</probability>
  <confidence>0.93</confidence>
</response>",619,14.149790287017822
Are both Dafeng District and Dazhou located in the same province?,no,"No, Dafeng District is in Jiangsu Province, while Dazhou is in Sichuan Province.",NO,"No; Dafeng District (Yancheng) is in Jiangsu Province, and Dazhou is located in Sichuan Province.</text>","<response>
<text>No; Dafeng District is part of Yancheng in Jiangsu Province, while Dazhou is a prefecture-level city in Sichuan Province.</text>
<probability>0.06</probability>
<confidence>0.99</confidence>
</response>
<response>
<text>No, they are in different provinces: Dafeng District in Jiangsu and Dazhou in Sichuan.</text>
<probability>0.03</probability>
<confidence>0.98</confidence>
</response>
<response>
<text>They are not in the same province—Dafeng District belongs to Jiangsu, whereas Dazhou lies in Sichuan.</text>
<probability>0.08</probability>
<confidence>0.98</confidence>
</response>
<response>
<text>No; Dafeng District (Yancheng) is in Jiangsu Province, and Dazhou is located in Sichuan Province.</text>
<probability>0.02</probability>
<confidence>0.99</confidence>
</response>
<response>
<text>No: Dafeng District is in coastal Jiangsu, and Dazhou is in northeastern Sichuan, so they are in different provinces.</text>
<probability>0.09</probability>
<confidence>0.97</confidence>
</response>",583,14.45694351196289
Mick Carter is the landlord of a public house located at what address?,"46 Albert Square, Walford, London E20","It is located at Albert Square, Walford.",NO,"Fictional: The Queen Victoria public house is located at 46 Albert Square, Walford, London E20; real-world: filming uses the purpose-built exterior on the BBC Elstree Centre lot in Borehamwood.</text>","<response>
<text>Fictional: The pub Mick Carter runs—the Queen Victoria—is at 46 Albert Square, Walford (E20); real-world: its exterior set stands on the EastEnders backlot at BBC Elstree Centre in Borehamwood, Hertfordshire.</text>
<probability>0.07</probability>
<confidence>0.95</confidence>
</response>
<response>
<text>Fictional: The Queen Victoria public house is located at 46 Albert Square, Walford, London E20; real-world: filming uses the purpose-built exterior on the BBC Elstree Centre lot in Borehamwood.</text>
<probability>0.02</probability>
<confidence>0.95</confidence>
</response>
<response>
<text>Fictional: Mick Carter’s pub is the Queen Victoria at 46 Albert Square, Walford; real-world: the building seen on screen is a backlot facade at BBC Elstree Centre, Borehamwood.</text>
<probability>0.05</probability>
<confidence>0.94</confidence>
</response>
<response>
<text>Fictional: In EastEnders, the Queen Vic’s address is 46 Albert Square, Walford (E20); real-world: it is shot on the EastEnders set at BBC Elstree Centre in Borehamwood, Hertfordshire.</text>
<probability>0.09</probability>
<confidence>0.95</confidence>
</response>
<response>
<text>Fictional: The Queen Victoria is at 46 Albert Square, Walford; real-world: the set is at BBC Elstree Centre on Eldon Avenue in Borehamwood.</text>
<probability>0.03</probability>
<confidence>0.93</confidence>
</response>",673,22.373454332351685
Li Yitong made her television debut on which network?,Dragon TV,Hunan Television.,YES,Li Yitong made her television debut on Dragon TV (Shanghai Dragon Television) with The Legend of the Condor Heroes in 2017.</text>,"<response>
<text>Li Yitong made her television debut on Dragon TV (Shanghai Dragon Television) with The Legend of the Condor Heroes in 2017.</text>
<probability>0.07</probability>
<confidence>0.86</confidence>
</response>
<response>
<text>Her first broadcast television role aired on Dragon TV, co-broadcast with Anhui TV, rather than on Hunan Television.</text>
<probability>0.03</probability>
<confidence>0.84</confidence>
</response>
<response>
<text>She did not debut on Hunan TV; her television debut was on Dragon TV in 2017.</text>
<probability>0.09</probability>
<confidence>0.82</confidence>
</response>
<response>
<text>The series marking her TV debut, Legend of the Condor Heroes, premiered on Dragon TV (东方卫视).</text>
<probability>0.02</probability>
<confidence>0.85</confidence>
</response>
<response>
<text>In mainland China, her television debut was carried by Dragon TV alongside a simultaneous broadcast on Anhui TV.</text>
<probability>0.05</probability>
<confidence>0.80</confidence>
</response>",543,124.27604651451111
"Based on a True Story... is an album by which country music star, with the single My Eyes?",Blake Shelton,"The album ""Based on a True Story..."" with the single ""My Eyes"" is by country star Blake Shelton.",NO,"The country music star who released ""Based on a True Story..."" with the single ""My Eyes"" is Blake Shelton.</text>","<response>
<text>The album ""Based on a True Story..."" with the single ""My Eyes"" is by country star Blake Shelton.</text>
<probability>0.07</probability>
<confidence>0.99</confidence>
</response>
<response>
<text>Blake Shelton is the country artist behind the album ""Based on a True Story..."" that includes the single ""My Eyes.""</text>
<probability>0.03</probability>
<confidence>0.99</confidence>
</response>
<response>
<text>""Based on a True Story...""—featuring the single ""My Eyes""—is an album by Blake Shelton.</text>
<probability>0.08</probability>
<confidence>0.98</confidence>
</response>
<response>
<text>The country music star who released ""Based on a True Story..."" with the single ""My Eyes"" is Blake Shelton.</text>
<probability>0.02</probability>
<confidence>0.99</confidence>
</response>
<response>
<text>Blake Shelton recorded the album ""Based on a True Story..."" which includes the single ""My Eyes.""</text>
<probability>0.09</probability>
<confidence>0.98</confidence>
</response>",566,21.46314525604248
"When was the Chief Aerodynamicist for the British supersonic land vehicle, whose goal is to match or exceed 1000 mph achieving a new world land speed record, born?",1932,"Ron Ayers, the Chief Aerodynamicist for the Bloodhound supersonic land vehicle, was born in 1932.",NO,"Ron Ayers, who served as Chief Aerodynamicist for the Bloodhound SSC, was born in the year 1932.</text>","<response>
<text>Ron Ayers, the Chief Aerodynamicist for the Bloodhound supersonic land-speed project, was born in 1932.</text>
<probability>0.07</probability>
<confidence>0.94</confidence>
</response>
<response>
<text>The Bloodhound LSR project's chief aerodynamicist, Ron Ayers, was born in 1932.</text>
<probability>0.03</probability>
<confidence>0.93</confidence>
</response>
<response>
<text>Ron Ayers—chief aerodynamicist for the British 1000 mph Bloodhound land-speed effort—was born in 1932.</text>
<probability>0.09</probability>
<confidence>0.94</confidence>
</response>
<response>
<text>The chief aerodynamicist behind Bloodhound’s attempt to exceed 1000 mph, Ron Ayers, was born in 1932.</text>
<probability>0.02</probability>
<confidence>0.92</confidence>
</response>
<response>
<text>Ron Ayers, who served as Chief Aerodynamicist for the Bloodhound SSC, was born in the year 1932.</text>
<probability>0.08</probability>
<confidence>0.95</confidence>
</response>",595,12.808160066604614
Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,John AndrÃÂÃÂ©,It was Major John AndrÃÂ©.,NO,The man executed for assisting the attempted surrender arranged by defector Benedict Arnold was Major John André of the British Army.</text>,"<response>
<text>Major John André was hanged by the Americans for assisting Benedict Arnold's plot to surrender West Point to the British.</text>
<probability>0.07</probability>
<confidence>0.99</confidence>
</response>
<response>
<text>The British officer executed for aiding Benedict Arnold's attempted betrayal of West Point was Major John André.</text>
<probability>0.03</probability>
<confidence>0.98</confidence>
</response>
<response>
<text>Major John André was hanged as a spy on October 2, 1780, for his role in Benedict Arnold's scheme to turn over West Point.</text>
<probability>0.09</probability>
<confidence>0.98</confidence>
</response>
<response>
<text>It was Major John André—captured with incriminating papers—who was hanged for collaborating with Benedict Arnold in the West Point plot.</text>
<probability>0.05</probability>
<confidence>0.97</confidence>
</response>
<response>
<text>The man executed for assisting the attempted surrender arranged by defector Benedict Arnold was Major John André of the British Army.</text>
<probability>0.02</probability>
<confidence>0.99</confidence>
</response>",561,45.105507135391235
Where is the seminar Jeanne Marie Beaumont directed in 2007-2010 located?,"Franconia, New Hampshire","It is located at The Frost Place in Franconia, New Hampshire.",NO,"The seminar was held at The Frost Place, in Franconia, NH.</text>","<response>
<text>At The Frost Place in Franconia, New Hampshire.</text>
<probability>0.07</probability>
<confidence>0.95</confidence>
</response>
<response>
<text>The seminar was held at The Frost Place, in Franconia, NH.</text>
<probability>0.04</probability>
<confidence>0.95</confidence>
</response>
<response>
<text>It took place at The Frost Place, Robert Frost’s former home in Franconia, New Hampshire.</text>
<probability>0.08</probability>
<confidence>0.94</confidence>
</response>
<response>
<text>In Franconia, New Hampshire, at The Frost Place poetry center.</text>
<probability>0.06</probability>
<confidence>0.94</confidence>
</response>
<response>
<text>At The Frost Place (Franconia, New Hampshire).</text>
<probability>0.09</probability>
<confidence>0.95</confidence>
</response>",513,13.407395362854004
"Johnny Mathis: Wonderful Wonderful aired at what luxury hotel, casino and spa resort located in Atlantic City, New Jersey?",Tropicana Casino & Resort,Borgata Hotel Casino & Spa.,YES,"It aired from the Borgata Hotel Casino & Spa, a luxury resort in Atlantic City, New Jersey.</text>","<response>
<text>Johnny Mathis: Wonderful, Wonderful aired at the Borgata Hotel Casino & Spa in Atlantic City, New Jersey.</text>
<probability>0.07</probability>
<confidence>0.89</confidence>
</response>
<response>
<text>The special was broadcast from the Borgata Hotel Casino & Spa in Atlantic City, NJ.</text>
<probability>0.03</probability>
<confidence>0.88</confidence>
</response>
<response>
<text>It aired from the Borgata Hotel Casino & Spa, a luxury resort in Atlantic City, New Jersey.</text>
<probability>0.06</probability>
<confidence>0.90</confidence>
</response>
<response>
<text>The program originated from Atlantic City’s Borgata Hotel Casino & Spa.</text>
<probability>0.02</probability>
<confidence>0.87</confidence>
</response>
<response>
<text>Johnny Mathis: Wonderful, Wonderful was staged at the Borgata Hotel Casino & Spa in Atlantic City.</text>
<probability>0.09</probability>
<confidence>0.88</confidence>
</response>",531,23.77139973640442
Bethpage State Parkway begins with an interchange at which Long Island-based limited access highway?,Southern State Parkway,Bethpage State Parkway begins at an interchange with the SeafordÃ¢ÂÂOyster Bay Expressway (NY 135).,YES,Bethpage State Parkway begins at an interchange with the Northern State Parkway in Nassau County.</text>,"<response>
  <text>Bethpage State Parkway begins at an interchange with the Northern State Parkway in Nassau County.</text>
  <probability>0.07</probability>
  <confidence>0.95</confidence>
</response>
<response>
  <text>The parkway starts at the Northern State Parkway, then heads south into Bethpage State Park.</text>
  <probability>0.02</probability>
  <confidence>0.94</confidence>
</response>
<response>
  <text>Its northern terminus is a junction with the Northern State Parkway.</text>
  <probability>0.09</probability>
  <confidence>0.93</confidence>
</response>
<response>
  <text>Bethpage State Parkway originates at the Northern State Parkway near Old Bethpage.</text>
  <probability>0.05</probability>
  <confidence>0.92</confidence>
</response>
<response>
  <text>The roadway connects directly to the Northern State Parkway at its northern end.</text>
  <probability>0.08</probability>
  <confidence>0.93</confidence>
</response>",544,27.686908960342407
"Marion Greene was a health policy analyst for St. Judt Medical company, which had how many principal operations worldwide?",20,It had four principal operations worldwide.,YES,The company ran four primary operations around the world.</text>,"<response>
  <text>It had four principal operations worldwide.</text>
  <probability>0.07</probability>
  <confidence>0.94</confidence>
</response>
<response>
  <text>St. Jude Medical maintained four main operating divisions globally.</text>
  <probability>0.02</probability>
  <confidence>0.93</confidence>
</response>
<response>
  <text>The company ran four primary operations around the world.</text>
  <probability>0.06</probability>
  <confidence>0.95</confidence>
</response>
<response>
  <text>There were four principal global operations at St. Jude Medical.</text>
  <probability>0.09</probability>
  <confidence>0.92</confidence>
</response>
<response>
  <text>St. Jude Medical had four principal worldwide operations.</text>
  <probability>0.04</probability>
  <confidence>0.94</confidence>
</response>",499,16.599525928497314
Cistus and Stapelianthus are both forms of what?,flowering plants,They are both forms of flowering plants.,NO,Cistus and Stapelianthus are both plant genera.</text>,"<response>
<text>Cistus and Stapelianthus are both plant genera.</text>
<probability>0.07</probability>
<confidence>0.98</confidence>
</response>
<response>
<text>They are both genera of flowering plants.</text>
<probability>0.03</probability>
<confidence>0.97</confidence>
</response>
<response>
<text>Both Cistus and Stapelianthus are botanical genera.</text>
<probability>0.09</probability>
<confidence>0.96</confidence>
</response>
<response>
<text>They are each classified as genera in botany.</text>
<probability>0.05</probability>
<confidence>0.95</confidence>
</response>
<response>
<text>Cistus and Stapelianthus are both genera of plants.</text>
<probability>0.02</probability>
<confidence>0.97</confidence>
</response>",479,11.909239768981934
What is the population of the city at which the transmitter of WLLZ-LP was placed? ,"143,372","It is 639,111.",YES,"Detroit—the city where WLLZ-LP’s transmitter was located—had a population of 639,111 according to the 2020 U.S. Census.</text>","<response>
  <text>Detroit—the city where WLLZ-LP’s transmitter was located—had a population of 639,111 according to the 2020 U.S. Census.</text>
  <probability>0.07</probability>
  <confidence>0.94</confidence>
</response>
<response>
  <text>As of the 2020 Census, the population of Detroit, Michigan (where the WLLZ-LP transmitter was placed) was 639,111.</text>
  <probability>0.03</probability>
  <confidence>0.93</confidence>
</response>
<response>
  <text>The city is Detroit, whose officially reported 2020 Census population was 639,111 residents.</text>
  <probability>0.09</probability>
  <confidence>0.92</confidence>
</response>
<response>
  <text>Detroit, Michigan—the transmitter location for WLLZ-LP—recorded a population of 639,111 in the 2020 Census count.</text>
  <probability>0.05</probability>
  <confidence>0.93</confidence>
</response>
<response>
  <text>The transmitter was in Detroit, and Detroit’s population was 639,111 at the time of the 2020 U.S. Census.</text>
  <probability>0.02</probability>
  <confidence>0.92</confidence>
</response>",589,23.44811463356018
"What material did a hairdresser from Yorkshire, England invent that was named by his granddaughter?",Starlite,"Crimplene, a polyester fiber used for clothing.",YES,"Starlite, the fire-resistant material devised by hairdresser-turned-inventor Maurice Ward, was named by his granddaughter.</text>","<response>
  <text>Starlite, a heat-resistant plastic-like material invented by former hairdresser Maurice Ward and named by his granddaughter.</text>
  <probability>0.07</probability>
  <confidence>0.94</confidence>
</response>
<response>
  <text>Starlite, the fire-resistant material devised by hairdresser-turned-inventor Maurice Ward, was named by his granddaughter.</text>
  <probability>0.03</probability>
  <confidence>0.95</confidence>
</response>
<response>
  <text>Starlite, a flame-retardant compound created by British hairdresser Maurice Ward, received its name from his granddaughter.</text>
  <probability>0.08</probability>
  <confidence>0.93</confidence>
</response>
<response>
  <text>Starlite, the heat-shielding material famously demonstrated on television, was invented by hairdresser Maurice Ward and christened by his granddaughter.</text>
  <probability>0.02</probability>
  <confidence>0.92</confidence>
</response>
<response>
  <text>Starlite, a highly heat-resistant material developed by Maurice Ward, a former hairdresser, was named by his granddaughter.</text>
  <probability>0.09</probability>
  <confidence>0.94</confidence>
</response>",576,27.706529140472412
"Approximately how many locations is BJ's Wholesale Club operating in, as of early 2008?",650 locations,About 180 locations.,YES,Approximately 180 BJ's Wholesale Club locations were in operation in early 2008.</text>,"<response>
  <text>As of early 2008, BJ's Wholesale Club was operating approximately 180 locations.</text>
  <probability>0.08</probability>
  <confidence>0.88</confidence>
</response>
<response>
  <text>Around early 2008, BJ's Wholesale Club had roughly 180 warehouse club stores.</text>
  <probability>0.04</probability>
  <confidence>0.87</confidence>
</response>
<response>
  <text>In early 2008, BJ's Wholesale Club operated about 180 clubs across its markets.</text>
  <probability>0.02</probability>
  <confidence>0.86</confidence>
</response>
<response>
  <text>Approximately 180 BJ's Wholesale Club locations were in operation in early 2008.</text>
  <probability>0.09</probability>
  <confidence>0.89</confidence>
</response>
<response>
  <text>By early 2008, BJ's Wholesale Club had in the vicinity of 180 store locations.</text>
  <probability>0.06</probability>
  <confidence>0.86</confidence>
</response>",536,12.189457893371582
Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located in which city in Kansas?,Wichita,Wichita.,NO,"Wichita, Kansas.</text>","<response>
  <text>Wichita.</text>
  <probability>0.07</probability>
  <confidence>0.99</confidence>
</response>
<response>
  <text>They are both in Wichita, Kansas.</text>
  <probability>0.03</probability>
  <confidence>0.99</confidence>
</response>
<response>
  <text>Wichita is the city where both schools are located.</text>
  <probability>0.09</probability>
  <confidence>0.99</confidence>
</response>
<response>
  <text>Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are in Wichita.</text>
  <probability>0.05</probability>
  <confidence>0.99</confidence>
</response>
<response>
  <text>Wichita, Kansas.</text>
  <probability>0.02</probability>
  <confidence>0.99</confidence>
</response>",498,9.186867952346802
When did the author of the book One More River is based on win the Nobel Prize?,1932,John Galsworthy won the Nobel Prize in Literature in 1932.,NO,The Nobel Prize in Literature was given to John Galsworthy in 1932.</text>,"<response>
<text>John Galsworthy, whose novel inspired One More River, won the Nobel Prize in Literature in 1932.</text>
<probability>0.06</probability>
<confidence>0.98</confidence>
</response>
<response>
<text>He was awarded the Nobel Prize in Literature in 1932.</text>
<probability>0.08</probability>
<confidence>0.98</confidence>
</response>
<response>
<text>The Nobel Prize in Literature was given to John Galsworthy in 1932.</text>
<probability>0.04</probability>
<confidence>0.98</confidence>
</response>
<response>
<text>Galsworthy received the Nobel Prize in Literature in 1932.</text>
<probability>0.09</probability>
<confidence>0.98</confidence>
</response>
<response>
<text>He won the Nobel Prize in Literature on 10 December 1932.</text>
<probability>0.03</probability>
<confidence>0.96</confidence>
</response>",518,24.361916065216064
 Who was born first Doug Liman or Saul Metzstein?,"Douglas Eric ""Doug"" Liman",Doug Liman was born first.,NO,"The older is Doug Liman, born in 1965; Saul Metzstein was born five years later in 1970.</text>","<response>
  <text>Doug Liman was born first; he was born in 1965, while Saul Metzstein was born in 1970.</text>
  <probability>0.07</probability>
  <confidence>0.96</confidence>
</response>
<response>
  <text>Doug Liman came earlier, born in 1965 compared to Saul Metzstein’s 1970 birth.</text>
  <probability>0.03</probability>
  <confidence>0.95</confidence>
</response>
<response>
  <text>The older is Doug Liman, born in 1965; Saul Metzstein was born five years later in 1970.</text>
  <probability>0.09</probability>
  <confidence>0.97</confidence>
</response>
<response>
  <text>Doug Liman was born before Saul Metzstein—1965 vs. 1970 respectively.</text>
  <probability>0.02</probability>
  <confidence>0.94</confidence>
</response>
<response>
  <text>Doug Liman preceded Saul Metzstein in birth, with Liman in 1965 and Metzstein in 1970.</text>
  <probability>0.05</probability>
  <confidence>0.96</confidence>
</response>",564,11.98807144165039
Kevin Watson currently manages which Southern League football team?,Bishop's Stortford,Kevin Watson currently manages Kings Langley.,YES,The Southern League team Kevin Watson currently manages is Kings Langley.</text>,"<response>
  <text>Kevin Watson is currently the manager of Southern League club Kings Langley.</text>
  <probability>0.08</probability>
  <confidence>0.74</confidence>
</response>
<response>
  <text>He currently manages Kings Langley in the Southern League.</text>
  <probability>0.04</probability>
  <confidence>0.72</confidence>
</response>
<response>
  <text>The Southern League team Kevin Watson currently manages is Kings Langley.</text>
  <probability>0.06</probability>
  <confidence>0.75</confidence>
</response>
<response>
  <text>Kevin Watson serves as the current manager of Kings Langley, a Southern League side.</text>
  <probability>0.02</probability>
  <confidence>0.70</confidence>
</response>
<response>
  <text>At present, Kevin Watson is in charge of Kings Langley in the Southern League.</text>
  <probability>0.09</probability>
  <confidence>0.73</confidence>
</response>",509,47.00546383857727
Macclesfield Town F.C. plays in the league sponsored by whom?,Vanarama,Blue Square.,YES,"During the 2012–13 season, when Macclesfield Town F.C. played in the Conference Premier, the league was sponsored by Blue Square Bet.</text>","<response>
<text>During the 2012–13 season, when Macclesfield Town F.C. played in the Conference Premier, the league was sponsored by Blue Square Bet.</text>
<probability>0.07</probability>
<confidence>0.93</confidence>
</response>
<response>
<text>In the 2013–14 season, Macclesfield Town F.C. played in the Conference Premier, which was sponsored by Skrill.</text>
<probability>0.04</probability>
<confidence>0.88</confidence>
</response>
<response>
<text>From 2014 to 2018, while Macclesfield Town F.C. competed in the National League, the title sponsor was Vanarama.</text>
<probability>0.08</probability>
<confidence>0.93</confidence>
</response>
<response>
<text>Between 2010 and 2013, when Macclesfield Town F.C. were in Football League Two, the league's title sponsor was npower.</text>
<probability>0.03</probability>
<confidence>0.90</confidence>
</response>
<response>
<text>When Macclesfield Town F.C. returned to the EFL in 2018–20, League Two was sponsored by Sky Bet.</text>
<probability>0.09</probability>
<confidence>0.91</confidence>
</response>",581,26.702961206436157
"What mixed martial arts even took place at a closed hotel and casino on the Boardwalk in Atlantic City, owned by Trump Entertainment Resorts?",The War of '04,The mixed martial arts event was UFC 30: The Battle on the Boardwalk.,YES,"UFC 30: The Battle on the Boardwalk, held on February 23, 2001, took place at the Trump Taj Mahal on the Atlantic City Boardwalk (a hotel-casino later closed and owned by Trump Entertainment Resorts at the time).</text>","<response>
  <text>UFC 30: The Battle on the Boardwalk, held on February 23, 2001, took place at the Trump Taj Mahal on the Atlantic City Boardwalk (a hotel-casino later closed and owned by Trump Entertainment Resorts at the time).</text>
  <probability>0.09</probability>
  <confidence>0.96</confidence>
</response>
<response>
  <text>UFC 28: High Stakes, on November 17, 2000, was staged at the Trump Taj Mahal on the Atlantic City Boardwalk, a property then owned by Trump Entertainment Resorts that has since closed.</text>
  <probability>0.07</probability>
  <confidence>0.93</confidence>
</response>
<response>
  <text>UFC 31: Locked and Loaded took place at the Trump Taj Mahal in Atlantic City on May 4, 2001, a Boardwalk hotel-casino formerly owned by Trump Entertainment Resorts that later closed.</text>
  <probability>0.06</probability>
  <confidence>0.90</confidence>
</response>
<response>
  <text>The one-off YAMMA Pit Fighting event on April 11, 2008 was held at the Trump Taj Mahal on the Atlantic City Boardwalk, a venue owned by Trump Entertainment Resorts that subsequently closed.</text>
  <probability>0.05</probability>
  <confidence>0.91</confidence>
</response>
<response>
  <text>UFC 30: The Battle on the Boardwalk occurred at the Mark G. Etess Arena inside the Trump Taj Mahal in Atlantic City, a hotel-casino on the Boardwalk that was owned by Trump Entertainment Resorts and later closed.</text>
  <probability>0.04</probability>
  <confidence>0.95</confidence>
</response>",701,66.03749084472656
What type of the district is the Downtown Bentonville of the state in the southeastern region of the United States which is home to over 3 million people as of 2017?,business district,It is a historic district.,YES,"It is a historic district located in Bentonville, Arkansas.</text>","<response>
<text>Downtown Bentonville is a historic district.</text>
<probability>0.07</probability>
<confidence>0.88</confidence>
</response>
<response>
<text>It is classified as a historic district in Bentonville, Arkansas.</text>
<probability>0.03</probability>
<confidence>0.87</confidence>
</response>
<response>
<text>The Downtown Bentonville area is designated as a historic district.</text>
<probability>0.09</probability>
<confidence>0.86</confidence>
</response>
<response>
<text>Downtown Bentonville is recognized as a historic district in the city of Bentonville.</text>
<probability>0.05</probability>
<confidence>0.86</confidence>
</response>
<response>
<text>It is a historic district located in Bentonville, Arkansas.</text>
<probability>0.02</probability>
<confidence>0.88</confidence>
</response>",507,16.35327434539795
What three categories does income get levied under the Parliament of Australia's tax code?,"""personal earnings"" (such as salary and wages), ""business income"" and ""capital gains""","Income in Australia is levied under three categories: individuals, companies, and superannuation funds.",NO,"In the Australian tax system, the three categories on which income tax is levied are individuals, companies and superannuation funds.</text>","<response>
  <text>Under Australia’s federal income tax law, income is levied on three taxpayer groups: individuals, companies and superannuation funds.</text>
  <probability>0.07</probability>
  <confidence>0.96</confidence>
</response>
<response>
  <text>The Parliament of Australia levies income tax in three main categories—individuals, companies and superannuation funds.</text>
  <probability>0.03</probability>
  <confidence>0.95</confidence>
</response>
<response>
  <text>Australia’s income tax is imposed on individuals, on companies, and on superannuation funds.</text>
  <probability>0.09</probability>
  <confidence>0.96</confidence>
</response>
<response>
  <text>For federal taxation purposes, income is assessed across three categories: individuals, companies and superannuation funds.</text>
  <probability>0.05</probability>
  <confidence>0.94</confidence>
</response>
<response>
  <text>In the Australian tax system, the three categories on which income tax is levied are individuals, companies and superannuation funds.</text>
  <probability>0.02</probability>
  <confidence>0.96</confidence>
</response>",570,19.7063250541687
"Thomas Matthew ""Tom"" Chappell co-founded a commpany in 1970 that manufactures what products?",natural-ingredients-only personal care products,"He co-founded TomÃ¢ÂÂs of Maine, which manufactures natural personal care products such as toothpaste, deodorant, mouthwash, and soap.",NO,"He co-founded Tom's of Maine in 1970, a company that makes natural personal care products like toothpaste, mouthwash, deodorant, and soap.</text>","<response>
<text>He co-founded Tom's of Maine in 1970, a company that makes natural personal care products like toothpaste, mouthwash, deodorant, and soap.</text>
<probability>0.07</probability>
<confidence>0.97</confidence>
</response>
<response>
<text>The company is Tom's of Maine, which produces natural oral care and body care products, especially toothpaste and deodorant.</text>
<probability>0.03</probability>
<confidence>0.96</confidence>
</response>
<response>
<text>Tom Chappell co-founded Tom's of Maine, a manufacturer of natural toothpaste, mouthwash, deodorants, soaps, and other personal care items.</text>
<probability>0.09</probability>
<confidence>0.97</confidence>
</response>
<response>
<text>It was Tom's of Maine, known for natural personal care goods—primarily oral-care products such as toothpaste and mouthwash, plus deodorants and soaps.</text>
<probability>0.02</probability>
<confidence>0.96</confidence>
</response>
<response>
<text>He started Tom's of Maine, which manufactures natural personal care products (e.g., toothpaste and other oral-care items, deodorants, and soaps).</text>
<probability>0.08</probability>
<confidence>0.96</confidence>
</response>",624,13.515704154968262
